Observation ID,Name,Data Type,"
Latitude",Longitude,Open/Closed,Number of People,Price Range (CHF),Link to Picture,Town
G3_R0,Pizzeria next to Villa,Restaurant,"45° 54' 16.404"" N","8° 58' 13.536"" E",Closed,0,N/A,https://drive.google.com/file/d/1Qih6wP7vEBRdO79yU1TSFagHw3MaXp9c/view?usp=sharing,Riva
G3_R1,Osteria Degli Amici,Restaurant,"45° 54' 19.264"" N","8° 58' 14.683"" E",Open,3,N/A,https://drive.google.com/file/d/155kPTBKpz8Yoq8twpChENXeC0uBw8dZn/view?usp=sharing,Riva
G3_R2,San Giorgio Coppe e Gelati,Restaurant,"45° 54' 18.826"" N","8° 58' 16.306"" E",Open,1,N/A,https://drive.google.com/file/d/16IXkMpaFdIiCo-SKoQDA98f1JYnDblSr/view?usp=sharing,Riva
G3_R3,La Barberia old school haircut and shave,Personal Care and Health,"45° 54' 19.015"" N","8° 58' 16.756"" E",Open,2,N/A,https://drive.google.com/file/d/10enqxANVoh9g4X29VYs-HpCz_um0vvGk/view?usp=sharing,Riva
G3_R4,Max Haug,Personal Care and Health,"45° 54' 19.903"" N","8° 58' 16.467"" E",Closed,0,N/A,https://drive.google.com/file/d/1p0MbFAftWCxlPpWL9iAo8mGB9V86y5N5/view?usp=sharing,Riva
G3_R5,l'alter ego,Personal Care and Health,"45° 54' 20.026"" N","8° 58' 16.530"" E",Closed,0,N/A,https://drive.google.com/file/d/16Ftn5B2DNsOUUIepaDODwrxi9YZiu1TG/view?usp=sharing,Riva
G3_R6,Endless beauty,Personal Care and Health,"45° 54' 21.009"" N","8° 58' 17.033"" E",Closed,0,N/A,https://drive.google.com/file/d/1_mXxvMfZCuQcYO2kip2a9PVzJFQJD300/view?usp=sharing,Riva
G3_R7,Il Negozietto Di Maria,Retail & Clothing,"45° 54' 22.044"" N","8° 58' 13.557"" E",Closed,0,N/A,https://drive.google.com/file/d/1Mi-AAnE-3hfm7sTpjPOGAdfz1JwJRDwq/view?usp=sharing,Riva
G3_R8,Amavita Faramcia,Personal Care and Health,"45° 54' 21.989"" N","8° 58' 17.789"" E",Closed,0,N/A,https://drive.google.com/file/d/1j_fKRNvJi4atn0-OmeMxWhz1OmD0IcOD/view?usp=sharing,Riva
G3_R9,Maia Gelateria & Crepia,Restaurant,"45° 54' 22.665"" N","8° 58' 16.927"" E",Closed,0,N/A,https://drive.google.com/file/d/1kkOtgo99thpIMysKfuWynTVFHK2AVsng/view?usp=sharing,Riva
G3_R10,Bernaschima Lab,Personal Care and Health,"45° 54' 22.737"" N","8° 58' 16.327"" E",Closed,0,N/A,https://drive.google.com/file/d/1kkOtgo99thpIMysKfuWynTVFHK2AVsng/view?usp=sharing,Riva
G3_R11,Beauty Massage Nature Da Isa,Personal Care and Health,"45° 54' 23.141"" N","8° 58' 17.165"" E",Closed,0,N/A,https://drive.google.com/file/d/1IT_i2wxV0fXM3Uz4vxpHGrbl33gCiKSX/view?usp=sharing,Riva
G3_R12,Bar Del Lago,Restaurant,"45° 54' 23.209"" N","8° 58' 18.259"" E",Open,3,N/A,https://drive.google.com/file/d/1z4BJaLqxsbRQutq0tzNKeeA4NQiAmt7f/view?usp=sharing,Riva
G3_R13,Posta Filiale,Business Services,"45° 54' 21.928"" N","8° 58' 18.986"" E",Closed,0,N/A,https://drive.google.com/file/d/1lMT262wDFaKZIvOtJjdPygT5a-xxwqEZ/view?usp=sharing,Riva
G3_R14,Bottega Del Nondo,Retail and Clothing,"45° 54' 22.029"" N","8° 58' 18.656"" E",Closed,0,N/A,https://drive.google.com/file/d/1lMT262wDFaKZIvOtJjdPygT5a-xxwqEZ/view?usp=sharing,Riva
G3_R15,Cafe Sociale,Restaurant,"45° 54' 20.307"" N","8° 58' 22.270"" E",Open,3,N/A,https://drive.google.com/file/d/1jTr5AZ5BpAQzjEBSkP6mguYrpVLwRE-I/view?usp=sharing,Riva
G3_R16,Ul Gelatee da Riva,Restaurant,"45° 54' 20.236"" N","8° 58' 22.169"" E",Closed,0,N/A,https://drive.google.com/file/d/1R5pv4QDSuyJya2NCONUyqQTF4qXZWGTh/view?usp=sharing,Riva
G3_R17,Denner,Retail & Clothing,"45° 54' 18.354"" N","8° 58' 21.773"" E",Open,10,N/A,https://drive.google.com/file/d/1G_cj0KTcs79MDsFQSfdEo1WwDwj0fYtO/view?usp=sharing,Riva
G3_R18,Raiffeisen,Business Services,"45° 54' 18.367"" N","8° 58' 19.916"" E",Closed,0,N/A,https://drive.google.com/file/d/1KLaAog1E6b_ZtvqGDT1VgshGZT_AFsu8/view?usp=sharing,Riva
G3_R19,EriKure,Business Services,"45° 54' 18.669"" N","8° 58' 23.154"" E",Open,2,N/A,https://drive.google.com/file/d/1_DEwGeQGjr9kpDwVWOfhaEmFQwjthpuY/view?usp=sharing,Riva
G3_R20,Ottica Asiraghi,Personal Care and Health,"45° 54' 18.175"" N","8° 58' 23.618"" E",Open,2,N/A,https://drive.google.com/file/d/1zBiaQDAEc3fYB4bBylpfHsU5r1BRVdgj/view?usp=sharing,Riva
G3_R21,Osteria teatro unione,Restaurant,"45° 54' 17.973"" N","8° 58' 26.048"" E",Closed,0,N/A,https://drive.google.com/file/d/1AdMFZ6M5JGotwLFum75L9JlaJsIagtp7/view?usp=sharing,Riva
G3_R22,Giotto Industrial Networking,Business Services,"45° 54' 17.702"" N","8° 58' 26.108"" E",Closed,0,N/A,https://drive.google.com/file/d/1Ox6owtADqQTIuWGEPvVhbtyWtvHFs5dt/view?usp=sharing,Riva
G3_R23,Tre Diamanti Centro Beauty and Hair,Personal Care and Health,"45° 54' 17.146"" N","8° 58' 28.566"" E",Open,2,N/A,https://drive.google.com/file/d/1FsVTZMGjnq2r_PIeyjm5BXHSifLz29Gj/view?usp=sharing,Riva
G3_R24,Cantieri Nautici Silvano Pasta,Restaurant,"45° 54' 15.037"" N","8° 58' 34.660"" E",Closed,0,N/A,https://drive.google.com/file/d/1qc8y2xvR_MFqfbIgc7u_cX_2KrssRVyP/view?usp=sharing,Riva
G3_PC0,Caveu,Restaurant,45° 54’ 18.222” N,8° 54’ 22.14” E,Closed,0,N/A,https://drive.google.com/file/d/1xeYN6HBnluwhpzFp1jwWVnFkGArfg9eZ/view?usp=sharing,Porto Ceresio
G3_PC1,Gelateria artigianale,Restaurant,45° 54’ 18.222” N,8° 54’ 22.08” E,Closed,0,N/A,https://drive.google.com/file/d/1UPPq0bSRlGnFJ9MnZvieJtg00wWRig7d/view?usp=sharing,Porto Ceresio
G3_PC2,Tecnocasa ,Business Services,45° 54’ 17.76” N,8° 54’ 21.81” E,Closed,0,N/A,https://drive.google.com/file/d/1F6odTGibq9VeldNrTr5-HAhdYs20iFdu/view?usp=sharing,Porto Ceresio
G3_PC3,Caffe ristorante del Cervo gelateria,Restaurant,45° 54’ 16.53” N,8° 54’ 21.678” E,Open,10,N/A,https://drive.google.com/file/d/1lQePn-drL1gQVJHkzy9VVYEOryUi7n-j/view?usp=sharing,Porto Ceresio
G3_PC4,La trattoria del tempo perso,Restaurant,45° 54’ 15.762” N,8° 54’ 22.548” E,Open,1,N/A,https://drive.google.com/file/d/1cNYzMu9QWobSXFtEjB9-9sAanQqrBhKk/view?usp=sharing,Porto Ceresio
G3_PC5,Adiyaman nemrut pizzeria ,Restaurant,45° 54’ 15.99” N,8° 54’ 22.578” E,Closed,0,N/A,https://drive.google.com/file/d/1WrJcbO_ojyPzxyzdiibGijSWNWECtBm3/view?usp=sharing,Porto Ceresio
G3_PC6,Bar la trappola ,Restaurant,45° 54’ 15.762” N,8° 54’ 22.548” E,Closed,0,N/A,https://drive.google.com/file/d/1cNYzMu9QWobSXFtEjB9-9sAanQqrBhKk/view?usp=sharing,Porto Ceresio
G3_PC7,Porto Bello,Restaurant,45° 54’ 15.51” N,8° 54’ 22.512” E,Closed,0,N/A,https://drive.google.com/file/d/1t66Z_YiSE7Bfi0fc-A6iELyY1ljgCBcD/view?usp=sharing,Porto Ceresio
G3_PC8,Santa caterina Italian bakery ,Restaurant,45° 54’ 15.232” N,8° 54’ 22.08” E,Open,4,N/A,https://drive.google.com/file/d/1Uzew7tc5slnEcrNmB42UyGmpHzQYp2ZE/view?usp=sharing,Porto Ceresio
G3_PC9,Gelateria il golosone ,Restaurant,45° 54’ 15.76” N,8° 54’ 21.81” E,Open,0,N/A,https://drive.google.com/file/d/1me7yIJdXSF-U4CE5PIjezNPPTHbfNdwq/view?usp=sharing,Porto Ceresio
G3_PC10,Centr servizi franchising,Business Services,45° 54’ 14.56” N,8° 54’ 21.648” E,Closed,0,N/A,https://drive.google.com/file/d/1oQ28GIncgbympYA2_tZey0fY8eH4jpwp/view?usp=sharing,Porto Ceresio
G3_PC11,Lachi and menefoglio ,Business Services,45° 54’ 14.762” N,8° 54’ 21.648” E,Closed,0,N/A,https://drive.google.com/file/d/1TC_ry6kePa_XH8ipbvHNzhWX_nRHfIVf/view?usp=sharing,Porto Ceresio
G3_PC12,friggio,Restaurant,45° 54’ 14.59” N,8° 54’ 21.578” E,Open,1,N/A,https://drive.google.com/file/d/148N-WPn42SJZiUIrLQYDo2JjJV0jzQJb/view?usp=sharing,Porto Ceresio
G3_PC13,Dame coffee,Restaurant,45° 54’ 13.752” N,8° 54’ 20.528” E,Open,6,N/A,https://drive.google.com/file/d/1LXKTQ2MATH7Pi9exrJZt4OaV0YizqMpw/view?usp=sharing,Porto Ceresio
G3_PC14,Here um,Personal Care and Health,45° 54’ 13.54” N,8° 54’ 20.512” E,Open,2,N/A,https://drive.google.com/file/d/1eoAgOL43qoFKMUmO-5vY4bTtiDgEXKsd/view?usp=sharing,Porto Ceresio
G3_PC15,Hi beauty,Personal Care and Health,45° 54’ 13.83” N,8° 54’ 20.48” E,Open,2,N/A,https://drive.google.com/file/d/1P_9fOfpbk19Kuzub4Vs_Tx6tPUuES6ys/view?usp=sharing,Porto Ceresio
G3_PC16,Ristorante pizzeria grigliera,Restaurant,45° 54’ 12.228” N,8° 54’ 20.73” E,Open,5,N/A,https://drive.google.com/file/d/1Jh2HL0tpAFNnVpFxZ9G62V-WPC_zfLl_/view?usp=sharing,Porto Ceresio
G3_PC17,Le chic,Retail and Clothing,45° 54’ 11.472” N,8° 54’ 19.8” E,Closed,0,N/A,https://drive.google.com/file/d/1MEczMPLotdcZzlD1l3008SHaRRke1N0B/view?usp=sharing,Porto Ceresio
G3_PC18,Financial mutui ,Business Services,45° 54’ 11.268” N,8° 54’ 19.638” E,Closed,0,N/A,https://drive.google.com/file/d/13quXlvy30L-bksB42xLNAcTZ9GoJqpCa/view?usp=sharing,Porto Ceresio
G3_PC19,Ristorante la Perla ,Restaurant,45° 54’ 11.088” N,8° 54’ 19.488” E,Closed,0,N/A,https://drive.google.com/file/d/19oGZtd4BH3j2JUvOiY-wzk8agvTChDZs/view?usp=sharing,Porto Ceresio
G3_PC20,Panificio siciliano ,Restaurant,45° 54’ 10.962” N,8° 54’ 19.248” E,Closed,0,N/A,https://drive.google.com/file/d/1AdMFZ6M5JGotwLFum75L9JlaJsIagtp7/view?usp=sharing,Porto Ceresio
G3_PC21,Wanza vape ,Retail and Clothing,45° 54’ 10.95” N,8° 54’ 19.098” E,Closed,0,N/A,https://drive.google.com/file/d/1o-lGvtH9vyU6ZIS3OL0eG6P5tKNSjCjW/view?usp=sharing,Porto Ceresio
G3_PC22,Sindicato pensionati italiani,Restaurant,45° 54’ 10.692” N,8° 54’ 18.702” E,Closed,0,N/A,https://drive.google.com/file/d/1HtpAIM-GEdIRpTEVoUh81DayeFDfq7TL/view?usp=sharing,Porto Ceresio
G3_PC23,Il mondo di Simona ,Personal Care and Health,45° 54’ 10.248” N,8° 54’ 17.382” E,Closed,0,N/A,https://drive.google.com/file/d/1cVdSvP9tvmGElz6nURhZAxt7GFwWLMYQ/view?usp=sharing,Porto Ceresio
